gastLabel,episodeLabel,date,anzahl
Robin Alexander,Markus Lanz 16.03.2017,2017-03-16T00:00:00Z,54
Robin Alexander,Markus Lanz 21.03.2017,2017-03-21T00:00:00Z,54
Robin Alexander,Markus Lanz 03.05.2017,2017-05-03T00:00:00Z,54
Robin Alexander,Markus Lanz 05.07.2017,2017-07-05T00:00:00Z,54
Robin Alexander,Markus Lanz 07.09.2017,2017-09-07T00:00:00Z,54
Robin Alexander,Markus Lanz 03.10.2017,2017-10-03T00:00:00Z,54
Robin Alexander,Markus Lanz 01.11.2017,2017-11-01T00:00:00Z,54
Robin Alexander,Markus Lanz 23.11.2017,2017-11-23T00:00:00Z,54
Robin Alexander,Markus Lanz 18.01.2018,2018-01-18T00:00:00Z,54
Robin Alexander,Markus Lanz 27.02.2018,2018-02-27T00:00:00Z,54
Robin Alexander,Markus Lanz 02.05.2018,2018-05-02T00:00:00Z,54
Robin Alexander,Markus Lanz 19.06.2018,2018-06-19T00:00:00Z,54
Robin Alexander,Markus Lanz 21.08.2018,2018-08-21T00:00:00Z,54
Robin Alexander,Markus Lanz 19.09.2018,2018-09-19T00:00:00Z,54
Robin Alexander,Markus Lanz 06.12.2018,2018-12-06T00:00:00Z,54
Robin Alexander,Markus Lanz 17.01.2019,2019-01-17T00:00:00Z,54
Robin Alexander,Markus Lanz 03.04.2019,2019-04-03T00:00:00Z,54
Robin Alexander,Markus Lanz 12.06.2019,2019-06-12T00:00:00Z,54
Robin Alexander,Markus Lanz 06.08.2019,2019-08-06T00:00:00Z,54
Robin Alexander,Markus Lanz 04.09.2019,2019-09-04T00:00:00Z,54
Robin Alexander,Markus Lanz 23.10.2019,2019-10-23T00:00:00Z,54
Robin Alexander,Markus Lanz 21.11.2019,2019-11-21T00:00:00Z,54
Robin Alexander,Markus Lanz 16.04.2020,2020-04-16T00:00:00Z,54
Robin Alexander,Markus Lanz 07.05.2020,2020-05-07T00:00:00Z,54
Robin Alexander,Markus Lanz 24.06.2020,2020-06-24T00:00:00Z,54
Robin Alexander,Markus Lanz 16.09.2020,2020-09-16T00:00:00Z,54
Robin Alexander,Markus Lanz 29.10.2020,2020-10-29T00:00:00Z,54
Robin Alexander,Markus Lanz 03.03.2021,2021-03-03T00:00:00Z,54
Robin Alexander,Markus Lanz 26.05.2021,2021-05-26T00:00:00Z,54
Robin Alexander,Markus Lanz 22.06.2021,2021-06-22T00:00:00Z,54
Robin Alexander,Markus Lanz 25.08.2021,2021-08-25T00:00:00Z,54
Robin Alexander,Markus Lanz 23.09.2021,2021-09-23T00:00:00Z,54
Robin Alexander,Markus Lanz 28.09.2021,2021-09-28T00:00:00Z,54
Robin Alexander,Markus Lanz 25.11.2021,2021-11-25T00:00:00Z,54
Robin Alexander,Markus Lanz 22.02.2022,2022-02-22T00:00:00Z,54
Robin Alexander,Markus Lanz 08.03.2022,2022-03-08T00:00:00Z,54
Robin Alexander,Markus Lanz 22.03.2022,2022-03-22T00:00:00Z,54
Robin Alexander,Markus Lanz 05.04.2022,2022-04-05T00:00:00Z,54
Robin Alexander,Markus Lanz 03.05.2022,2022-05-03T00:00:00Z,54
Robin Alexander,Markus Lanz 21.06.2022,2022-06-21T00:00:00Z,54
Robin Alexander,Markus Lanz 17.08.2022,2022-08-17T00:00:00Z,54
Robin Alexander,Markus Lanz 13.09.2022,2022-09-13T00:00:00Z,54
Robin Alexander,Markus Lanz 29.09.2022,2022-09-29T00:00:00Z,54
Robin Alexander,Markus Lanz 08.12.2022,2022-12-08T00:00:00Z,54
Robin Alexander,Markus Lanz 18.01.2023,2023-01-18T00:00:00Z,54
Robin Alexander,Markus Lanz 07.06.2023,2023-06-07T00:00:00Z,54
Robin Alexander,Markus Lanz 12.07.2023,2023-07-12T00:00:00Z,54
Robin Alexander,Markus Lanz 06.09.2023,2023-09-06T00:00:00Z,54
Robin Alexander,Markus Lanz 12.10.2023,2023-10-12T00:00:00Z,54
Robin Alexander,Markus Lanz 22.11.2023,2023-11-22T00:00:00Z,54
Robin Alexander,Markus Lanz 17.01.2024,2024-01-17T00:00:00Z,54
Robin Alexander,Markus Lanz 02.07.2024,2024-07-02T00:00:00Z,54
Robin Alexander,Markus Lanz 03.10.2024,2024-10-03T00:00:00Z,54
Robin Alexander,Markus Lanz 28.11.2024,2024-11-28T00:00:00Z,54
Karl Lauterbach,Markus Lanz 21.10.2009,2009-10-21T00:00:00Z,38
Karl Lauterbach,Markus Lanz 25.07.2013,2013-07-25T00:00:00Z,38
Karl Lauterbach,Markus Lanz 08.10.2013,2013-10-08T00:00:00Z,38
Karl Lauterbach,Markus Lanz 27.08.2015,2015-08-27T00:00:00Z,38
Karl Lauterbach,Markus Lanz 27.06.2017,2017-06-27T00:00:00Z,38
Karl Lauterbach,Markus Lanz 18.01.2018,2018-01-18T00:00:00Z,38
Karl Lauterbach,Markus Lanz 06.03.2018,2018-03-06T00:00:00Z,38
Karl Lauterbach,Markus Lanz 23.10.2018,2018-10-23T00:00:00Z,38
Karl Lauterbach,Markus Lanz 21.02.2019,2019-02-21T00:00:00Z,38
Karl Lauterbach,Markus Lanz 02.10.2019,2019-10-02T00:00:00Z,38
Karl Lauterbach,Markus Lanz 05.03.2020,2020-03-05T00:00:00Z,38
Karl Lauterbach,Markus Lanz 24.03.2020,2020-03-24T00:00:00Z,38
Karl Lauterbach,Markus Lanz 01.04.2020,2020-04-01T00:00:00Z,38
Karl Lauterbach,Markus Lanz 08.04.2020,2020-04-08T00:00:00Z,38
Karl Lauterbach,Markus Lanz 15.04.2020,2020-04-15T00:00:00Z,38
Karl Lauterbach,Markus Lanz 23.04.2020,2020-04-23T00:00:00Z,38
Karl Lauterbach,Markus Lanz 29.04.2020,2020-04-29T00:00:00Z,38
Karl Lauterbach,Markus Lanz 05.05.2020,2020-05-05T00:00:00Z,38
Karl Lauterbach,Markus Lanz 04.06.2020,2020-06-04T00:00:00Z,38
Karl Lauterbach,Markus Lanz 09.06.2020,2020-06-09T00:00:00Z,38
Karl Lauterbach,Markus Lanz 01.07.2020,2020-07-01T00:00:00Z,38
Karl Lauterbach,Markus Lanz 13.08.2020,2020-08-13T00:00:00Z,38
Karl Lauterbach,Markus Lanz 24.09.2020,2020-09-24T00:00:00Z,38
Karl Lauterbach,Markus Lanz - Das Jahr 2021,2021-12-15T00:00:00Z,38
Karl Lauterbach,Markus Lanz 19.01.2022,2022-01-19T00:00:00Z,38
Karl Lauterbach,Markus Lanz 05.04.2022,2022-04-05T00:00:00Z,38
Karl Lauterbach,Markus Lanz 25.05.2022,2022-05-25T00:00:00Z,38
Karl Lauterbach,Markus Lanz 01.09.2022,2022-09-01T00:00:00Z,38
Karl Lauterbach,Markus Lanz 01.11.2022,2022-11-01T00:00:00Z,38
Karl Lauterbach,Markus Lanz - Das Jahr 2022,2022-12-15T00:00:00Z,38
Karl Lauterbach,Markus Lanz 09.02.2023,2023-02-09T00:00:00Z,38
Karl Lauterbach,Markus Lanz 27.04.2023,2023-04-27T00:00:00Z,38
Karl Lauterbach,Markus Lanz 22.06.2023,2023-06-22T00:00:00Z,38
Karl Lauterbach,Markus Lanz 02.11.2023,2023-11-02T00:00:00Z,38
Karl Lauterbach,Markus Lanz 08.02.2024,2024-02-08T00:00:00Z,38
Karl Lauterbach,Markus Lanz 15.05.2024,2024-05-15T00:00:00Z,38
Karl Lauterbach,Markus Lanz 08.10.2024,2024-10-08T00:00:00Z,38
Karl Lauterbach,Markus Lanz 20.11.2024,2024-11-20T00:00:00Z,38
Eva Quadbeck,Markus Lanz 20.11.2018,2018-11-20T00:00:00Z,33
Eva Quadbeck,Markus Lanz 15.01.2019,2019-01-15T00:00:00Z,33
Eva Quadbeck,Markus Lanz 08.08.2019,2019-08-08T00:00:00Z,33
Eva Quadbeck,Markus Lanz 05.11.2019,2019-11-05T00:00:00Z,33
Eva Quadbeck,Markus Lanz 22.01.2020,2020-01-22T00:00:00Z,33
Eva Quadbeck,Markus Lanz 11.02.2020,2020-02-11T00:00:00Z,33
Eva Quadbeck,Markus Lanz 18.02.2020,2020-02-18T00:00:00Z,33
Eva Quadbeck,Markus Lanz 26.08.2020,2020-08-26T00:00:00Z,33
Eva Quadbeck,Markus Lanz 08.12.2020,2020-12-08T00:00:00Z,33
Eva Quadbeck,Markus Lanz 13.01.2021,2021-01-13T00:00:00Z,33
Eva Quadbeck,Markus Lanz 10.02.2021,2021-02-10T00:00:00Z,33
Eva Quadbeck,Markus Lanz 25.03.2021,2021-03-25T00:00:00Z,33
Eva Quadbeck,Markus Lanz 31.08.2021,2021-08-31T00:00:00Z,33
Eva Quadbeck,Markus Lanz 24.11.2021,2021-11-24T00:00:00Z,33
Eva Quadbeck,Markus Lanz 06.01.2022,2022-01-06T00:00:00Z,33
Eva Quadbeck,Markus Lanz 24.02.2022,2022-02-24T00:00:00Z,33
Eva Quadbeck,Markus Lanz 09.06.2022,2022-06-09T00:00:00Z,33
Eva Quadbeck,Markus Lanz 25.08.2022,2022-08-25T00:00:00Z,33
Eva Quadbeck,Markus Lanz 29.11.2022,2022-11-29T00:00:00Z,33
Eva Quadbeck,Markus Lanz 10.01.2023,2023-01-10T00:00:00Z,33
Eva Quadbeck,Markus Lanz 04.05.2023,2023-05-04T00:00:00Z,33
Eva Quadbeck,Markus Lanz 14.06.2023,2023-06-14T00:00:00Z,33
Eva Quadbeck,Markus Lanz 31.08.2023,2023-08-31T00:00:00Z,33
Eva Quadbeck,Markus Lanz 10.10.2023,2023-10-10T00:00:00Z,33
Eva Quadbeck,Markus Lanz 30.11.2023,2023-11-30T00:00:00Z,33
Eva Quadbeck,Markus Lanz 25.01.2024,2024-01-25T00:00:00Z,33
Eva Quadbeck,Markus Lanz 07.03.2024,2024-03-07T00:00:00Z,33
Eva Quadbeck,Markus Lanz 18.04.2024,2024-04-18T00:00:00Z,33
Eva Quadbeck,Markus Lanz 08.05.2024,2024-05-08T00:00:00Z,33
Eva Quadbeck,Markus Lanz 11.06.2024,2024-06-11T00:00:00Z,33
Eva Quadbeck,Markus Lanz 10.07.2024,2024-07-10T00:00:00Z,33
Eva Quadbeck,Markus Lanz 15.10.2024,2024-10-15T00:00:00Z,33
Eva Quadbeck,Markus Lanz 17.12.2024,2024-12-17T00:00:00Z,33
Kristina Dunz,Markus Lanz 15.03.2018,2018-03-15T00:00:00Z,32
Kristina Dunz,Markus Lanz 26.04.2018,2018-04-26T00:00:00Z,32
Kristina Dunz,Markus Lanz 03.07.2018,2018-07-03T00:00:00Z,32
Kristina Dunz,Markus Lanz 18.09.2018,2018-09-18T00:00:00Z,32
Kristina Dunz,Markus Lanz 31.10.2018,2018-10-31T00:00:00Z,32
Kristina Dunz,Markus Lanz 19.03.2019,2019-03-19T00:00:00Z,32
Kristina Dunz,Markus Lanz 30.05.2019,2019-05-30T00:00:00Z,32
Kristina Dunz,Markus Lanz 20.08.2019,2019-08-20T00:00:00Z,32
Kristina Dunz,Markus Lanz 29.10.2019,2019-10-29T00:00:00Z,32
Kristina Dunz,Markus Lanz 26.02.2020,2020-02-26T00:00:00Z,32
Kristina Dunz,Markus Lanz 19.05.2020,2020-05-19T00:00:00Z,32
Kristina Dunz,Markus Lanz 08.09.2020,2020-09-08T00:00:00Z,32
Kristina Dunz,Markus Lanz 26.11.2020,2020-11-26T00:00:00Z,32
Kristina Dunz,Markus Lanz 04.03.2021,2021-03-04T00:00:00Z,32
Kristina Dunz,Markus Lanz 20.04.2021,2021-04-20T00:00:00Z,32
Kristina Dunz,Markus Lanz 03.08.2021,2021-08-03T00:00:00Z,32
Kristina Dunz,Markus Lanz 02.09.2021,2021-09-02T00:00:00Z,32
Kristina Dunz,Markus Lanz 19.10.2021,2021-10-19T00:00:00Z,32
Kristina Dunz,Markus Lanz 20.01.2022,2022-01-20T00:00:00Z,32
Kristina Dunz,Markus Lanz 03.02.2022,2022-02-03T00:00:00Z,32
Kristina Dunz,Markus Lanz 26.04.2022,2022-04-26T00:00:00Z,32
Kristina Dunz,Markus Lanz 18.05.2022,2022-05-18T00:00:00Z,32
Kristina Dunz,Markus Lanz 06.04.2023,2023-04-06T00:00:00Z,32
Kristina Dunz,Markus Lanz 02.05.2023,2023-05-02T00:00:00Z,32
Kristina Dunz,Markus Lanz 31.05.2023,2023-05-31T00:00:00Z,32
Kristina Dunz,Markus Lanz 24.08.2023,2023-08-24T00:00:00Z,32
Kristina Dunz,Markus Lanz 24.10.2023,2023-10-24T00:00:00Z,32
Kristina Dunz,Markus Lanz 01.02.2024,2024-02-01T00:00:00Z,32
Kristina Dunz,Markus Lanz 14.05.2024,2024-05-14T00:00:00Z,32
Kristina Dunz,Markus Lanz 27.06.2024,2024-06-27T00:00:00Z,32
Kristina Dunz,Markus Lanz 28.08.2024,2024-08-28T00:00:00Z,32
Kristina Dunz,Markus Lanz 29.10.2024,2024-10-29T00:00:00Z,32
Michael Spreng,Markus Lanz 22.07.2009,2009-07-22T00:00:00Z,31
Michael Spreng,Markus Lanz 19.08.2009,2009-08-19T00:00:00Z,31
Michael Spreng,Markus Lanz 23.02.2011,2011-02-23T00:00:00Z,31
Michael Spreng,Markus Lanz 10.01.2012,2012-01-10T00:00:00Z,31
Michael Spreng,Markus Lanz 09.02.2012,2012-02-09T00:00:00Z,31
Michael Spreng,Markus Lanz 25.04.2012,2012-04-25T00:00:00Z,31
Michael Spreng,Markus Lanz 22.05.2012,2012-05-22T00:00:00Z,31
Michael Spreng,Markus Lanz 17.01.2013,2013-01-17T00:00:00Z,31
Michael Spreng,Markus Lanz 26.06.2013,2013-06-26T00:00:00Z,31
Michael Spreng,Markus Lanz 12.09.2013,2013-09-12T00:00:00Z,31
Michael Spreng,Markus Lanz 28.11.2013,2013-11-28T00:00:00Z,31
Michael Spreng,Markus Lanz 18.02.2014,2014-02-18T00:00:00Z,31
Michael Spreng,Markus Lanz 27.05.2014,2014-05-27T00:00:00Z,31
Michael Spreng,Markus Lanz 17.02.2015,2015-02-17T00:00:00Z,31
Michael Spreng,Markus Lanz 13.05.2015,2015-05-13T00:00:00Z,31
Michael Spreng,Markus Lanz 23.06.2015,2015-06-23T00:00:00Z,31
Michael Spreng,Markus Lanz 02.02.2016,2016-02-02T00:00:00Z,31
Michael Spreng,Markus Lanz 09.06.2016,2016-06-09T00:00:00Z,31
Michael Spreng,Markus Lanz 30.08.2016,2016-08-30T00:00:00Z,31
Michael Spreng,Markus Lanz 14.02.2017,2017-02-14T00:00:00Z,31
Michael Spreng,Markus Lanz 25.05.2017,2017-05-25T00:00:00Z,31
Michael Spreng,Markus Lanz 27.06.2017,2017-06-27T00:00:00Z,31
Michael Spreng,Markus Lanz 05.09.2017,2017-09-05T00:00:00Z,31
Michael Spreng,Markus Lanz 19.10.2017,2017-10-19T00:00:00Z,31
Michael Spreng,Markus Lanz 07.11.2017,2017-11-07T00:00:00Z,31
Michael Spreng,Markus Lanz 14.12.2017,2017-12-14T00:00:00Z,31
Michael Spreng,Markus Lanz 13.02.2018,2018-02-13T00:00:00Z,31
Michael Spreng,Markus Lanz 12.07.2018,2018-07-12T00:00:00Z,31
Michael Spreng,Markus Lanz 27.09.2018,2018-09-27T00:00:00Z,31
Michael Spreng,Markus Lanz 16.10.2018,2018-10-16T00:00:00Z,31
Michael Spreng,Markus Lanz 13.12.2018,2018-12-13T00:00:00Z,31
Kevin Kühnert,Markus Lanz 23.01.2018,2018-01-23T00:00:00Z,29
Kevin Kühnert,Markus Lanz 14.02.2018,2018-02-14T00:00:00Z,29
Kevin Kühnert,Markus Lanz 06.03.2018,2018-03-06T00:00:00Z,29
Kevin Kühnert,Markus Lanz 31.10.2018,2018-10-31T00:00:00Z,29
Kevin Kühnert,Markus Lanz 09.04.2019,2019-04-09T00:00:00Z,29
Kevin Kühnert,Markus Lanz 17.09.2019,2019-09-17T00:00:00Z,29
Kevin Kühnert,Markus Lanz 17.03.2020,2020-03-17T00:00:00Z,29
Kevin Kühnert,Markus Lanz 16.06.2020,2020-06-16T00:00:00Z,29
Kevin Kühnert,Markus Lanz 03.12.2020,2020-12-03T00:00:00Z,29
Kevin Kühnert,Markus Lanz 19.05.2021,2021-05-19T00:00:00Z,29
Kevin Kühnert,Markus Lanz 21.09.2021,2021-09-21T00:00:00Z,29
Kevin Kühnert,Markus Lanz 14.10.2021,2021-10-14T00:00:00Z,29
Kevin Kühnert,Markus Lanz 14.12.2021,2021-12-14T00:00:00Z,29
Kevin Kühnert,Markus Lanz 22.02.2022,2022-02-22T00:00:00Z,29
Kevin Kühnert,Markus Lanz 03.05.2022,2022-05-03T00:00:00Z,29
Kevin Kühnert,Markus Lanz 16.08.2022,2022-08-16T00:00:00Z,29
Kevin Kühnert,Markus Lanz 04.10.2022,2022-10-04T00:00:00Z,29
Kevin Kühnert,Markus Lanz 25.10.2022,2022-10-25T00:00:00Z,29
Kevin Kühnert,Markus Lanz 12.01.2023,2023-01-12T00:00:00Z,29
Kevin Kühnert,Markus Lanz 21.02.2023,2023-02-21T00:00:00Z,29
Kevin Kühnert,Markus Lanz 29.03.2023,2023-03-29T00:00:00Z,29
Kevin Kühnert,Markus Lanz 15.06.2023,2023-06-15T00:00:00Z,29
Kevin Kühnert,Markus Lanz 06.09.2023,2023-09-06T00:00:00Z,29
Kevin Kühnert,Markus Lanz 10.10.2023,2023-10-10T00:00:00Z,29
Kevin Kühnert,Markus Lanz 07.02.2024,2024-02-07T00:00:00Z,29
Kevin Kühnert,Markus Lanz 29.05.2024,2024-05-29T00:00:00Z,29
Kevin Kühnert,Markus Lanz 02.07.2024,2024-07-02T00:00:00Z,29
Kevin Kühnert,Markus Lanz 28.08.2024,2024-08-28T00:00:00Z,29
Kevin Kühnert,Markus Lanz 03.10.2024,2024-10-03T00:00:00Z,29
Hajo Schumacher,Markus Lanz 16.03.2010,2010-03-16T00:00:00Z,28
Hajo Schumacher,Markus Lanz 22.09.2011,2011-09-22T00:00:00Z,28
Hajo Schumacher,Markus Lanz 06.12.2011,2011-12-06T00:00:00Z,28
Hajo Schumacher,Markus Lanz 31.01.2012,2012-01-31T00:00:00Z,28
Hajo Schumacher,Markus Lanz 21.02.2012,2012-02-21T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 01.03.2012,2012-03-01T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 08.05.2012,2012-05-08T00:00:00Z,28
Hajo Schumacher,Markus Lanz 17.05.2012,2012-05-17T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 05.09.2012,2012-09-05T00:00:00Z,28
Hajo Schumacher,Markus Lanz 16.01.2013,2013-01-16T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 22.01.2013,2013-01-22T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 14.03.2013,2013-03-14T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 23.04.2013,2013-04-23T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 25.06.2013,2013-06-25T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 24.09.2013,2013-09-24T00:00:00Z,28
Hajo Schumacher,Markus Lanz 01.10.2013,2013-10-01T00:00:00Z,28
Hajo Schumacher,Markus Lanz 11.12.2013,2013-12-11T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 12.03.2014,2014-03-12T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 16.09.2014,2014-09-16T00:00:00Z,28
Hajo Schumacher,Markus Lanz 01.10.2014,2014-10-01T00:00:00Z,28
Hajo Schumacher,Markus Lanz 03.06.2015,2015-06-03T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 18.08.2015,2015-08-18T00:00:00Z,28
Hajo Schumacher,Markus Lanz 08.10.2015,2015-10-08T00:00:00Z,28
Wolfgang Kubicki,Markus Lanz 13.01.2016,2016-01-13T00:00:00Z,28
Hajo Schumacher,Markus Lanz 21.01.2016,2016-01-21T00:00:00Z,28
Hajo Schumacher,Markus Lanz 10.03.2016,2016-03-10T00:00:00Z,28
